Date : 2025-06-25 15:49:57
Directory : d:\Work\React\steelworks-react-ui
Total : 286 files,  20999 codes, 500 comments, 1605 blanks, all 23104 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Work\React\steelworks-react-ui\src\entities\admin\users\services\service.mock.ts            | TypeScript         |         31 |          1 |          6 |         38 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\users\services\service.ts                 | TypeScript         |         51 |          2 |          6 |         59 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\users\types\base.model.ts                 | TypeScript         |          5 |          0 |          1 |          6 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\users\types\request.dto.ts                | TypeScript         |         11 |          0 |          4 |         15 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\users\types\response.dto.ts               | TypeScript         |         20 |          0 |          7 |         27 |
| d:\Work\React\steelworks-react-ui\src\entities\auth\forms\form.tsx                             | TypeScript JSX     |         66 |          0 |          9 |         75 |
| d:\Work\React\steelworks-react-ui\src\entities\auth\forms\schema.ts                            | TypeScript         |          7 |          0 |          3 |         10 |
| d:\Work\React\steelworks-react-ui\src\entities\auth\services\service.ts                        | TypeScript         |         36 |          0 |          3 |         39 |
| d:\Work\React\steelworks-react-ui\src\entities\auth\types\login\request.dto.ts                 | TypeScript         |          4 |          0 |          1 |          5 |
| d:\Work\React\steelworks-react-ui\src\entities\auth\types\login\response.dto.ts                | TypeScript         |          5 |          0 |          1 |          6 |
| d:\Work\React\steelworks-react-ui\src\entities\auth\types\logout\request.dto.ts                | TypeScript         |          3 |          0 |          1 |          4 |
| d:\Work\React\steelworks-react-ui\src\entities\auth\types\token\request.dto.ts                 | TypeScript         |          3 |          0 |          1 |          4 |
| d:\Work\React\steelworks-react-ui\src\entities\auth\types\token\response.dto.ts                | TypeScript         |          4 |          0 |          1 |          5 |
| d:\Work\React\steelworks-react-ui\src\entities\library\forms\form.tsx                          | TypeScript JSX     |         89 |          0 |          9 |         98 |
| d:\Work\React\steelworks-react-ui\src\entities\library\forms\schema.ts                         | TypeScript         |          8 |          0 |          3 |         11 |
| d:\Work\React\steelworks-react-ui\src\entities\library\mocks\mock.ts                           | TypeScript         |         97 |          0 |          2 |         99 |
| d:\Work\React\steelworks-react-ui\src\entities\library\routes.ts                               | TypeScript         |         52 |          0 |          3 |         55 |
| d:\Work\React\steelworks-react-ui\src\entities\library\services\keys.ts                        | TypeScript         |          5 |          0 |          2 |          7 |
| d:\Work\React\steelworks-react-ui\src\entities\library\services\service.mock.ts                | TypeScript         |         26 |          0 |          6 |         32 |
| d:\Work\React\steelworks-react-ui\src\entities\library\services\service.ts                     | TypeScript         |          0 |          0 |          1 |          1 |
| d:\Work\React\steelworks-react-ui\src\entities\library\types\base.model.ts                     | TypeScript         |          5 |          0 |          1 |          6 |
| d:\Work\React\steelworks-react-ui\src\entities\library\types\request.dto.ts                    | TypeScript         |          5 |          0 |          3 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\library\types\response.dto.ts                   | TypeScript         |         13 |          0 |          5 |         18 |
| d:\Work\React\steelworks-react-ui\src\index.css                                                | PostCSS            |         69 |         10 |         13 |         92 |
| d:\Work\React\steelworks-react-ui\src\init.ts                                                  | TypeScript         |          4 |          0 |          2 |          6 |
| d:\Work\React\steelworks-react-ui\src\main.tsx                                                 | TypeScript JSX     |         31 |          0 |          3 |         34 |
| d:\Work\React\steelworks-react-ui\src\pages\LoginPage.tsx                                      | TypeScript JSX     |         22 |          5 |          4 |         31 |
| d:\Work\React\steelworks-react-ui\src\pages\MainPage.tsx                                       | TypeScript JSX     |         28 |          0 |          3 |         31 |
| d:\Work\React\steelworks-react-ui\src\pages\StreamlitCalculator.tsx                            | TypeScript JSX     |         23 |          0 |          2 |         25 |
| d:\Work\React\steelworks-react-ui\src\pages\StreamlitDashboard.tsx                             | TypeScript JSX     |         24 |          0 |          2 |         26 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\Layout.tsx                             | TypeScript JSX     |         14 |          0 |          2 |         16 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\Main.tsx                               | TypeScript JSX     |         28 |          0 |          2 |         30 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\city\Add.tsx                           | TypeScript JSX     |         31 |          0 |          5 |         36 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\city\Details.tsx                       | TypeScript JSX     |         86 |          0 |         13 |         99 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\city\Layout.tsx                        | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\city\Update.tsx                        | TypeScript JSX     |         59 |          1 |          8 |         68 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\city\list\List.tsx                     | TypeScript JSX     |         59 |          2 |          6 |         67 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\city\list\columns.ts                   | TypeScript         |         21 |          0 |          3 |         24 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\country\Add.tsx                        | TypeScript JSX     |         31 |          0 |          5 |         36 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\country\Details.tsx                    | TypeScript JSX     |        112 |          0 |         16 |        128 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\country\Layout.tsx                     | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\country\Update.tsx                     | TypeScript JSX     |         49 |          0 |          7 |         56 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\country\list\List.tsx                  | TypeScript JSX     |         59 |          2 |          6 |         67 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\country\list\columns.ts                | TypeScript         |         26 |          0 |          3 |         29 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\departments\Add.tsx                    | TypeScript JSX     |         31 |          0 |          5 |         36 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\departments\Details.tsx                | TypeScript JSX     |         95 |          0 |         13 |        108 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\departments\Layout.tsx                 | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\departments\Update.tsx                 | TypeScript JSX     |         49 |          0 |          7 |         56 |
